timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
58198939,58199024,85,112,104,409,58199433,58199527,94,130,83,301,58199828,58199879,51,121,81,343,58200222,58200298,76,130,89,15,pin-length-4
58201207,58201291,84,117,105,376,58201667,58201744,77,127,107,292,58202036,58202095,59,113,93,376,58202471,58202539,68,130,99,15,pin-length-4
58203539,58203633,94,115,109,319,58203952,58204036,84,124,85,251,58204287,58204346,59,102,81,293,58204639,58204724,85,179,98,15,pin-length-4
19440221,19440307,86,90.81591796875,67.558349609375,119,19440426,19440524,98,89.51708984375,71.4814453125,175,19440699,19440841,142,99.2081298828125,57.5625610351563,175,19441016,19441092,76,129.480102539063,93.5472412109375,16,pin-length-4
19444820,19444916,96,87.8186950683594,87.5498046875,93,19445009,19445099,90,121.487487792969,79.47802734375,160,19445259,19445342,83,96.2109375,58.5621337890625,168,19445510,19445600,90,155.4560546875,101.543823242188,16,pin-length-4
19447096,19447175,79,65.8390350341797,73.5557861328125,101,19447276,19447359,83,151.459777832031,71.4814453125,167,19447526,19447617,91,168.144287109375,72.55615234375,167,19447784,19447850,66,121.487487792969,138.527954101563,16,pin-length-4
19453275,19453398,123,75.8297882080078,82.5518798828125,98,19453496,19453585,89,109.498596191406,101.468627929688,168,19453753,19453845,92,109.198913574219,51.5651245117188,151,19453996,19454079,83,100.506958007813,71.556640625,16,pin-length-4
19455097,19455197,100,73.8316345214844,45.5676879882813,58,19455255,19455337,82,121.487487792969,68.482666015625,166,19455503,19455579,76,100.207214355469,112.5390625,134,19455713,19455763,50,128.481018066406,112.5390625,16,pin-length-4
320793054,320793121,67,131,95,242,320793363,320793449,86,137,115,892,320794341,320794418,77,99,109,358,320794776,320794827,51,88,115,17,pin-length-4
320805939,320806051,112,144,102,250,320806301,320806378,77,124,139,650,320807028,320807113,85,123,101,252,320807365,320807423,58,99,84,17,pin-length-4
320818500,320818629,129,114,108,285,320818914,320819015,101,134,102,661,320819676,320819769,93,117,92,234,320820003,320820106,103,118,52,17,pin-length-4
320826984,320827086,102,108,112,259,320827345,320827464,119,135,99,584,320828048,320828159,111,111,94,311,320828470,320828563,93,116,70,17,pin-length-4
320834840,320834949,109,129,106,302,320835251,320835327,76,127,87,392,320835719,320835804,85,98,87,334,320836138,320836189,51,93,50,17,pin-length-4
320541312,320541371,59,122,125,242,320541613,320541673,60,110,127,185,320541858,320541926,68,105,88,325,320542251,320542328,77,105,88,19,pin-length-4
320548801,320548868,67,166,132,251,320549119,320549195,76,116,97,226,320549421,320549498,77,75,85,358,320549856,320549933,77,157,57,19,pin-length-4
320556295,320556380,85,136,78,243,320556623,320556691,68,100,97,234,320556925,320556983,58,110,33,342,320557325,320557404,79,125,75,19,pin-length-4
320564585,320564661,76,173,115,217,320564878,320564937,59,136,87,292,320565229,320565289,60,102,39,400,320565689,320565774,85,189,96,19,pin-length-4
320572353,320572412,59,108,92,242,320572654,320572722,68,111,109,209,320572931,320572999,68,80,61,342,320573341,320573425,84,147,113,19,pin-length-4
320356987,320357046,59,137,66,293,320357339,320357406,67,119,86,441,320357847,320357915,68,159,136,219,320358134,320358177,43,127,87,20,pin-length-4
320365268,320365362,94,169,109,275,320365637,320365704,67,101,58,700,320366404,320366472,68,171,125,226,320366698,320366757,59,113,56,20,pin-length-4
320376888,320376964,76,155,88,283,320377247,320377315,68,96,97,567,320377882,320377951,69,157,112,1157,320379108,320379175,67,157,106,20,pin-length-4
320386229,320386322,93,157,98,251,320386573,320386649,76,89,110,508,320387157,320387225,68,180,128,258,320387483,320387560,77,99,89,20,pin-length-4
320394030,320394097,67,158,106,176,320394273,320394332,59,72,114,442,320394774,320394824,50,152,134,267,320395091,320395159,68,133,89,20,pin-length-4
142353663,142353712,49,94,96,135,142353847,142353913,66,77,114,260,142354173,142354188,15,125,92,243,142354431,142354471,40,103,109,22,pin-length-4
142355481,142355547,66,123,161,201,142355748,142355773,25,63,116,217,142355990,142355997,7,68,115,217,142356214,142356272,58,117,113,22,pin-length-4
142357116,142357163,47,83,96,145,142357308,142357357,49,115,117,133,142357490,142357539,49,39,145,177,142357716,142357764,48,104,132,22,pin-length-4
142358399,142358439,40,83,84,151,142358590,142358639,49,107,113,151,142358790,142358823,33,66,105,186,142359009,142359065,56,82,99,22,pin-length-4
142359750,142359797,47,70,79,152,142359949,142360007,58,98,101,411,142360418,142360448,30,90,77,194,142360642,142360691,49,74,117,22,pin-length-4
332013224,332013364,140,64,62,481,332013845,332013977,132,77,69,2562,332016539,332016703,164,94,62,474,332017177,332017300,123,76,85,24,pin-length-4
332032038,332032203,165,62,79,524,332032727,332032874,147,91,72,602,332033476,332033629,153,88,66,518,332034147,332034284,137,90,79,24,pin-length-4
332037484,332037631,147,75,75,474,332038105,332038260,155,83,76,641,332038901,332039065,164,91,88,600,332039665,332039803,138,68,81,24,pin-length-4
332042725,332042855,130,57,70,416,332043271,332043392,121,96,82,1088,332044480,332044627,147,88,73,507,332045134,332045271,137,77,79,24,pin-length-4
332048321,332048468,147,72,56,424,332048892,332048996,104,87,74,725,332049721,332049851,130,89,62,540,332050391,332050498,107,83,75,24,pin-length-4
20438221,20438321,100,106.20166015625,67.6334838867188,93,20438414,20438488,74,115.792785644531,104.46728515625,84,20438572,20438656,84,59.2451171875,80.4775390625,142,20438798,20438879,81,85.8205413818359,61.6360473632813,25,pin-length-4
20439791,20439872,81,100.207214355469,70.6322021484375,226,20440098,20440230,132,80.8251647949219,59.486572265625,83,20440313,20440380,67,55.2488403320313,97.4703369140625,84,20440464,20440514,50,74.8307189941406,150.598022460938,25,pin-length-4
20441558,20441623,65,141.169311523438,35.6471557617188,434,20442057,20442131,74,112.795562744141,126.457885742188,67,20442198,20442282,84,75.2303466796875,85.4754638671875,75,20442357,20442413,56,71.83349609375,124.609130859375,25,pin-length-4
