timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
51557135,51557233,98,68,72,331,51557564,51557686,122,56,104,330,51558016,51558156,140,53,62,262,51558418,51558508,90,75,63,2,pin-length-4
408106139,408106258,119,105,99,201,408106459,408106578,119,110,94,243,408106821,408106948,127,101,68,301,408107249,408107351,102,92,105,2,pin-length-4
408112217,408112362,145,93,82,226,408112588,408112733,145,108,113,209,408112942,408113107,165,113,94,250,408113357,408113503,146,89,82,2,pin-length-4
408117805,408117975,170,97,73,210,408118185,408118330,145,106,89,201,408118531,408118687,156,110,93,309,408118996,408119134,138,107,103,2,pin-length-4
408124057,408124171,114,107,117,192,408124363,408124535,172,123,73,209,408124744,408124893,149,98,103,249,408125142,408125305,163,79,78,2,pin-length-4
408132664,408132817,153,106,103,200,408133017,408133165,148,122,108,208,408133373,408133520,147,78,86,218,408133738,408133866,128,62,165,2,pin-length-4
408141202,408141340,138,92,106,186,408141526,408141672,146,107,106,176,408141848,408141996,148,113,80,292,408142288,408142442,154,84,92,2,pin-length-4
408145805,408145934,129,91,109,243,408146177,408146332,155,105,85,192,408146524,408146672,148,104,49,250,408146922,408147060,138,86,110,2,pin-length-4
207740898,207741094,196,68,46,602,207741696,207741841,145,87,86,493,207742334,207742463,129,91,79,598,207743061,207743191,130,102,77,3,pin-length-4
207829931,207830064,133,98,60,856,207830920,207831069,149,83,76,579,207831648,207831747,99,92,73,515,207832262,207832361,99,82,79,3,pin-length-4
207835063,207835186,123,91,65,690,207835876,207836008,132,90,65,522,207836530,207836645,115,98,78,405,207837050,207837158,108,74,64,3,pin-length-4
207839885,207839993,108,96,58,681,207840674,207840789,115,85,71,498,207841287,207841402,115,96,70,463,207841865,207841963,98,75,61,3,pin-length-4
207844743,207844882,139,100,54,724,207845606,207845721,115,85,72,539,207846260,207846375,115,92,72,455,207846830,207846955,125,86,61,3,pin-length-4
207850262,207850378,116,82,68,579,207850957,207851065,108,83,81,522,207851587,207851703,116,103,76,428,207852131,207852230,99,85,81,3,pin-length-4
207858556,207858705,149,98,49,606,207859311,207859460,149,87,79,481,207859941,207860047,106,91,70,438,207860485,207860584,99,61,72,3,pin-length-4
207873966,207874098,132,102,61,656,207874754,207874869,115,83,63,657,207875526,207875632,106,82,61,414,207876046,207876161,115,78,75,3,pin-length-4
207884719,207884825,106,87,58,548,207885373,207885472,99,84,78,479,207885951,207886066,115,93,77,414,207886480,207886569,89,83,78,3,pin-length-4
207889147,207889287,140,91,59,784,207890071,207890193,122,89,64,431,207890624,207890722,98,91,68,295,207891017,207891142,125,64,69,3,pin-length-4
207893777,207893933,156,99,47,590,207894523,207894638,115,79,78,380,207895018,207895125,107,103,75,354,207895479,207895587,108,96,74,3,pin-length-4
207745627,207745750,123,90,77,651,207746401,207746506,105,85,81,927,207747433,207747562,129,96,61,431,207747993,207748106,113,83,65,3,pin-length-4
207902199,207902321,122,101,79,716,207903037,207903136,99,76,79,455,207903591,207903706,115,93,75,338,207904044,207904150,106,57,67,3,pin-length-4
279236586,279237210,624,81,60,1044,279238254,279238378,124,87,76,3694,279242072,279242243,171,93,71,432,279242675,279242898,223,99,76,3,pin-length-4
279250886,279251133,247,93,65,910,279252043,279252200,157,87,67,615,279252815,279252945,130,89,72,341,279253286,279253391,105,66,74,3,pin-length-4
279256213,279256344,131,77,54,749,279257093,279257240,147,90,80,416,279257656,279257793,137,88,66,315,279258108,279258213,105,65,82,3,pin-length-4
279262545,279262702,157,76,67,733,279263435,279263591,156,94,75,387,279263978,279264067,89,91,77,290,279264357,279264470,113,72,80,3,pin-length-4
279266363,279266483,120,83,57,667,279267150,279267272,122,92,64,340,279267612,279267718,106,86,73,261,279267979,279268077,98,75,67,3,pin-length-4
207749295,207749414,119,75,57,526,207749940,207750035,95,76,79,401,207750436,207750531,95,80,64,357,207750888,207750991,103,85,69,3,pin-length-4
207770941,207771105,164,102,51,1397,207772502,207772641,139,95,85,682,207773323,207773447,124,94,65,497,207773944,207774084,140,79,67,3,pin-length-4
207776175,207776339,164,100,52,853,207777192,207777312,120,92,74,491,207777803,207777916,113,90,73,424,207778340,207778436,96,86,63,3,pin-length-4
207780713,207780834,121,81,59,1160,207781994,207782102,108,78,75,622,207782724,207782830,106,82,75,465,207783295,207783400,105,76,72,3,pin-length-4
207787868,207787974,106,81,59,843,207788817,207788930,113,87,85,548,207789478,207789592,114,79,69,483,207790075,207790171,96,70,69,3,pin-length-4
207795366,207795496,130,98,81,759,207796255,207796385,130,95,76,475,207796860,207797006,146,84,73,390,207797396,207797509,113,62,64,3,pin-length-4
207821184,207821323,139,94,47,1102,207822425,207822555,130,93,66,517,207823072,207823193,121,81,71,389,207823582,207823696,114,64,52,3,pin-length-4
22841260,22841342,82,88,98,334,22841676,22841777,101,86,102,208,22841985,22842076,91,27,99,303,22842379,22842451,72,105,97,4,pin-length-4
22869181,22869269,88,83,96,134,22869403,22869477,74,136,98,118,22869595,22869686,91,77,97,167,22869853,22869936,83,94,104,4,pin-length-4
22871690,22871770,80,107,84,142,22871912,22872004,92,129,83,133,22872137,22872222,85,81,94,244,22872466,22872544,78,115,105,4,pin-length-4
22874364,22874470,106,90,139,143,22874613,22874704,91,126,79,134,22874838,22874922,84,95,72,166,22875088,22875171,83,108,79,4,pin-length-4
22876781,22876854,73,97,115,152,22877006,22877080,74,132,127,125,22877205,22877288,83,35,99,151,22877439,22877505,66,74,117,4,pin-length-4
22879232,22879330,98,88,81,126,22879456,22879505,49,81,94,151,22879656,22879747,91,143,138,60,22879807,22879907,100,93,101,4,pin-length-4
22881350,22881406,56,92,89,159,22881565,22881614,49,36,90,151,22881765,22881797,32,10,152,2306,22884103,22884198,95,91,80,4,pin-length-4
22886675,22886767,92,91,97,117,22886884,22886958,74,137,76,117,22887075,22887149,74,109,95,143,22887292,22887358,66,72,102,4,pin-length-4
22889321,22889417,96,99,91,135,22889552,22889617,65,109,120,126,22889743,22889826,83,87,69,159,22889985,22890059,74,83,107,4,pin-length-4
22892112,22892184,72,77,77,143,22892327,22892411,84,101,109,110,22892521,22892601,80,58,146,184,22892785,22892860,75,154,117,4,pin-length-4
22894720,22894819,99,94,103,109,22894928,22895019,91,106,136,126,22895145,22895237,92,72,111,200,22895437,22895502,65,118,100,4,pin-length-4
22849448,22849496,48,148,52,151,22849647,22849746,99,85,103,142,22849888,22849972,84,75,78,218,22850190,22850287,97,133,112,4,pin-length-4
