meanVelX,sdVelX,meanVelY,sdVelY,meanAccX,sdAccX,meanAccY,sdAccY,meanPress,sdPress,meanVelX,sdVelX,meanVelY,sdVelY,meanAccX,sdAccX,meanAccY,sdAccY,meanPress,sdPress,meanVelX,sdVelX,meanVelY,sdVelY,meanAccX,sdAccX,meanAccY,sdAccY,meanPress,sdPress,meanVelX,sdVelX,meanVelY,sdVelY,meanAccX,sdAccX,meanAccY,sdAccY,meanPress,sdPress,meanVelX,sdVelX,meanVelY,sdVelY,meanAccX,sdAccX,meanAccY,sdAccY,meanPress,sdPress,meanVelX,sdVelX,meanVelY,sdVelY,meanAccX,sdAccX,meanAccY,sdAccY,meanPress,sdPress,user,length
-0.552570441164481,0.524136440785019,0.573033979229985,0.526037059819781,-0.001733495749964,0.005733890463732,0.001468730402172,0.006518195043033,0,0,0.129887866984233,0.475723264463665,-0.325872462348072,0.750694593232797,0.000536346278969,0.006348242523467,-0.000989283986598,0.006330690767288,0,0,-0.161568856141998,0.467444210453246,0.086007755556635,0.546653688978532,-0.00051130496836,0.005962560109368,0.000420727936528,0.010147303216637,0,0,0.139733322702209,0.481755283899172,0.325322774646856,0.398555097798149,0.001209032610759,0.007144603078541,0.000531120444365,0.00965764232106,0,0,-0.329998559117467,0.873129331778821,0.018866593704261,0.262327420545328,-0.001915077347816,0.010547629727585,0.00012015284205,0.008496337101323,0,0,-0.438873553137319,0.755492630442441,-0.021950788509694,0.038764907497129,0.000427346385749,0.032256620648844,-0.000168306814871,0.002655088023428,0,0,4,pattern-length-6
-1.64075146743675,1.05529207824447,1.53169981713388,1.00102709003945,-0.011809203764785,0.019307384912322,0.012059824456162,0.017245332997367,0,0,0.515132200271688,1.27755905012909,-1.3012118212042,2.16080162748745,0.004849113545053,0.029543742311213,-0.00936341345704,0.034354793238378,0,0,-0.812474344290939,1.33584995473116,0.44467269299077,1.59462436114103,-0.011805932002084,0.025301520007756,0.010111245152035,0.049941342609594,0,0,0.677246476539691,1.8808342814863,1.1771379886614,0.60388099361427,0.008661181044001,0.046112855959397,0.006768802458027,0.034636673553177,0,0,-1.65270867097224,2.48277219692043,0.275705209327866,0.697855728496204,-0.015104145393416,0.039725354902906,-4.79351590486444E-05,0.029217917097966,0,0,-1.43187569369789,1.11746219814876,0.243516361012178,0.068679927536597,-0.002857281262487,0.089445613984733,0.001034218311546,0.007845271678126,0,0,4,pattern-length-6
-1.44488356075185,1.20568540784614,1.22865564682904,1.10162945320862,-0.012616675242796,0.02250791383751,0.014275500743634,0.014265029130149,0,0,0.741426102008695,1.50099217532668,-1.48980432273516,2.52582878507824,0.006045996206035,0.032207355958167,-0.011392680731113,0.045291639391867,0,0,-0.968731177306918,1.68930564204894,0.517604629886192,1.92208800180646,-0.010878313104562,0.03210086558366,0.008904107738458,0.053982048212677,0,0,0.966004958807253,1.90920079672446,1.28300607718673,0.461343086163363,0.009252434700831,0.054205960603455,0.00739985667298,0.041553762350812,0,0,-1.91256304348216,2.21548734580053,0.169578411999871,0.575162639930248,-0.014220169052533,0.038999101803917,0.000232631050592,0.026854914512432,0,0,-1.10325607429001,1.27046607026529,0.206945508194844,0.124702502127759,-0.005011814077645,0.089089741427039,0.000512058708995,0.008535273647799,0,0,4,pattern-length-6
-1.44780130359639,1.28822389654669,1.56368246212059,1.42209495110613,-0.015449270219859,0.022989088820912,0.016498539781872,0.026999849439899,0,0,0.542619727639591,1.34886305270429,-1.46820723589729,2.24875708969898,0.005636550357185,0.033756807956842,-0.010663808093352,0.037268055262099,0,0,-0.599250805923362,1.18321704289819,0.436808530022116,1.56986140142864,-0.008476363425528,0.024340726652841,0.009347672693457,0.044399166331318,0,0,0.538936021006231,1.7541787532338,1.10827932390787,0.800083301930249,0.008920569151015,0.044779046777036,0.008163046550537,0.042917621487981,0,0,-1.51058811611599,2.74823731474449,0.374068640415965,0.686819350848227,-0.013196543701242,0.046431052182504,0.000241489696393,0.031727979852778,0,0,-1.52625394568724,1.24812171675701,0.151743327870088,0.047948303327647,-0.000758595558393,0.081718131800992,0.000751189088326,0.003342191310971,0,0,4,pattern-length-6
-1.43983087923505,1.0009928225947,1.76553289454788,1.17478581202396,-0.008883349167326,0.01492905471596,0.007269729106419,0.021499345666141,0,0,0.710659733612512,1.2244035003283,-1.5260600743197,2.26880572374717,0.006810086411714,0.026994898924349,-0.013419526866101,0.035183828179715,0,0,-0.772543626673081,1.28159413514237,0.491909812478458,1.6701355281769,-0.009424542473262,0.025780424505857,0.009237722954536,0.047582304204424,0,0,0.572610683067172,1.72370611769792,1.27328422396791,0.579862822585384,0.009918112903318,0.043564769521771,0.008411693792992,0.036917734480903,0,0,-1.72702054086441,2.1454822148562,0.347642126380366,0.537613016321475,-0.012520788886895,0.037104278632006,0.000311274696411,0.029674665253301,0,0,-1.34174313022334,0.98719402122828,0.20751230631865,0.049377602276778,-0.001704832704582,0.064366443022198,0.002087411255321,0.00502546213096,0,0,4,pattern-length-6
-1.28183439090781,1.08902219004967,1.32118684242214,1.10162867216999,-0.01010056502774,0.017188466356154,0.011098089134373,0.016218961192504,0,0,0.574315983444545,1.30612693620192,-1.57123035395478,2.44803109749002,0.00675820653023,0.027280352874521,-0.013653187473014,0.037989697257767,0,0,-0.874111255677808,1.56737997659782,0.517937459865538,2.10212503241337,-0.011703746659415,0.036502458514953,0.011257593842703,0.069024697615996,0,0,0.822428377936868,1.88630352980447,1.32552816353592,0.395276703802299,0.009036026116473,0.045316785817188,0.005411857222191,0.03598010055396,0,0,-2.21150003321031,2.09337138828353,0.441903387331495,0.318881165485444,-0.014530800150615,0.037851704227125,0.000353225017226,0.018800900529171,0,0,-1.56060958206122,0.950923184769038,0.602146645068272,0.226569985075141,-0.003890403279896,0.082494521679172,0.00819560323257,0.005774725661775,0,0,4,pattern-length-6
-1.39201046722104,1.01454581192305,1.46618227581856,1.07232145949873,-0.011262780039078,0.017119188178648,0.012280403942504,0.016668215387287,0,0,0.756831176469702,1.40411740244205,-1.76861232571959,2.38383377594184,0.006294049913119,0.031105138724195,-0.012229831899083,0.041647803542965,0,0,-0.911049738651564,1.44035416689323,0.664136806455981,1.88540941672652,-0.010591196707435,0.030836366299277,0.010842435264493,0.053519738598817,0,0,0.586484209984136,1.84861134627802,1.40864424899692,0.666291220300029,0.012446345310754,0.046647324472015,0.01025155138265,0.039545516654506,0,0,-1.89181667916915,2.46656721593646,0.391896500306971,0.522418440278095,-0.014805525103036,0.047946220198156,0.001148631725344,0.03327515884187,0,0,-1.44925531953657,1.10409418820061,0.403779337052204,0.071804190110539,-0.001062364928077,0.080307479204195,0.002836077585313,0.008369478222565,0,0,4,pattern-length-6
-1.65540862239264,1.25428323369267,1.71689441157322,1.28511826208635,-0.015522143243044,0.026994822449866,0.014441589335037,0.031285849369632,0,0,0.816649254630594,1.5671920767834,-1.86295924467199,2.57887877515632,0.008869333714762,0.03693747339474,-0.015331775671883,0.045767756462821,0,0,-0.944299792811881,1.48665386710659,0.522490143236531,1.71267164705177,-0.012498068054337,0.033896256240097,0.011374861945933,0.054132903219209,0,0,0.675173142377068,1.97390168097514,1.40372899800789,0.586924060350012,0.01264107822488,0.045823666481659,0.008750679230136,0.037188881839268,0,0,-1.94062716820661,2.5451972045938,0.406023081611184,0.434146098022547,-0.016574951810408,0.049059065219101,0.00076562351834,0.028307597991031,0,0,-2.00819806179969,0.999701246088125,0.454964506859873,0.167743899455499,-0.006995409635432,0.091775264863934,0.006065821565146,0.006879585899843,0,0,4,pattern-length-6
-1.69293659185272,1.21844201840669,1.80605366027433,1.4464156134587,-0.017424739905845,0.017947858575628,0.022147649489603,0.018159064421171,0,0,0.974640804178574,1.8924327120265,-2.02266681895536,2.89747077395541,0.010473151468901,0.040631844224858,-0.016369436438933,0.054545751452386,0,0,-1.25701081519033,1.74586078025948,0.802867309719908,1.98811406536909,-0.016302190574945,0.042998718070858,0.013921693259595,0.067982799210991,0,0,0.68392976392217,2.25503772428846,1.36328445562795,0.636493681997021,0.012995725330951,0.057246961730176,0.008246032424452,0.04418740101363,0,0,-1.91432893576742,2.7914640201933,0.384387617351628,0.631583176760291,-0.016368668502472,0.051780699884883,-0.000262903919682,0.031725824670253,0,0,-1.69742543757463,1.30147312657127,0.283194127870875,0.146631180114294,-0.002441662302479,0.095620134952431,0.002941302322913,0.005083492232965,0,0,4,pattern-length-6
-1.77964054282195,1.32226318410774,1.62707793591069,1.30452079756222,-0.019435616432433,0.027590749454467,0.020374367590952,0.020967844907757,0,0,0.828698831446031,1.66448161615288,-1.58140044118844,2.46737563778722,0.007051822888031,0.038924822477829,-0.012601615969193,0.044560307148499,0,0,-1.13987465866474,1.88029472354826,0.505227946433701,2.15224326584447,-0.01479385880863,0.03751941494072,0.012120373874859,0.061404619847396,0,0,0.864669178406038,2.16314777570418,1.56449479323167,0.766493661399453,0.01593959493335,0.056668148909198,0.013524748589214,0.043501158324936,0,0,-1.72322258074803,2.78542233178403,0.307287407581369,0.825606267928874,-0.017073950601551,0.047544863437332,-6.81072540252218E-06,0.035995034682517,0,0,-2.17312118274714,1.09083373603826,0.509613211638008,0.074085918451978,-0.007958238747476,0.10009787157343,0.004712230652307,0.00993986878157,0,0,4,pattern-length-6
