area,pressure,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
39215688,1,274450285,274450349,64,82,61,39215688,1,192,274450541,274450599,58,100,149,39215688,1,143,274450742,274450791,49,103,107,39215688,1,109,274450900,274450933,33,74,110,3,pin-length-4
39215688,1,274456006,274456093,87,102,72,39215688,1,168,274456261,274456310,49,134,26,39215688,1,171,274456481,274456510,29,151,81,39215688,1,119,274456629,274456677,48,64,135,3,pin-length-4
392156864,1,143924700,143924798,98,116,116,470588288,1,226,143925024,143925090,66,95,98,352941184,1,201,143925291,143925373,82,104,84,431372576,1,227,143925600,143925699,99,85,110,4,pin-length-4
470588288,1,143926660,143926765,105,95,104,392156864,1,119,143926884,143926957,73,134,127,352941184,1,181,143927138,143927207,69,98,100,352941184,1,118,143927325,143927434,109,57,101,4,pin-length-4
313725504,1,143929129,143929233,104,53,84,274509824,1,112,143929345,143929409,64,101,151,392156864,1,200,143929609,143929694,85,115,89,352941184,1,109,143929803,143929899,96,93,88,4,pin-length-4
235294144,1,143930952,143931043,91,90,105,470588288,1,119,143931162,143931234,72,98,125,392156864,1,175,143931409,143931484,75,106,112,313725504,1,117,143931601,143931709,108,90,116,4,pin-length-4
313725504,1,143933170,143933277,107,100,94,509803968,1,87,143933364,143933451,87,98,133,352941184,1,167,143933618,143933702,84,112,83,352941184,1,116,143933818,143933919,101,100,98,4,pin-length-4
0,0.003921568859369,224268867,224268926,59,132,66,0,0.003921568859369,593,224269519,224269604,85,122,111,0,0.003921568859369,161,224269765,224269824,59,93,89,0,0.003921568859369,276,224270100,224270151,51,121,91,7,pin-length-4
0,0.003921568859369,224271371,224271430,59,114,94,0,0.003921568859369,759,224272189,224272265,76,87,113,0,0.003921568859369,334,224272599,224272684,85,92,108,0,0.003921568859369,484,224273168,224273227,59,170,98,7,pin-length-4
0,0.003921568859369,224274244,224274320,76,114,124,0,0.003921568859369,744,224275064,224275140,76,85,56,0,0.003921568859369,917,224276057,224276098,41,84,94,0,0.003921568859369,701,224276799,224276841,42,140,73,7,pin-length-4
0,0.003921568859369,224278144,224278263,119,113,96,0,0.003921568859369,934,224279197,224279561,364,114,115,0,0.003921568859369,658,224280219,224280617,398,106,112,0,0.003921568859369,527,224281144,224281211,67,133,98,7,pin-length-4
0,0.003921568859369,224282451,224282814,363,104,109,0,0.003921568859369,592,224283406,224283681,275,108,89,0,0.003921568859369,511,224284192,224284373,181,102,90,0,0.003921568859369,343,224284716,224284774,58,115,127,7,pin-length-4
0,0.003921568859369,56398036,56398104,68,163,146,0,0.003921568859369,159,56398263,56398322,59,87,133,0,0.003921568859369,152,56398474,56398550,76,82,87,0,0.003921568859369,218,56398768,56398827,59,109,140,8,pin-length-4
0,0.003921568859369,56399705,56399764,59,152,135,0,0.003921568859369,185,56399949,56400008,59,104,138,0,0.003921568859369,151,56400159,56400239,80,68,88,0,0.003921568859369,181,56400420,56400480,60,125,103,8,pin-length-4
0,0.003921568859369,56401281,56401339,58,139,112,0,0.003921568859369,168,56401507,56401549,42,114,122,0,0.003921568859369,152,56401701,56401760,59,99,58,0,0.003921568859369,176,56401936,56401995,59,121,98,8,pin-length-4
0,0.003921568859369,56402939,56402991,52,147,127,0,0.003921568859369,176,56403167,56403218,51,115,105,0,0.003921568859369,151,56403369,56403428,59,119,47,0,0.003921568859369,168,56403596,56403664,68,174,132,8,pin-length-4
0,0.003921568859369,56404449,56404517,68,173,129,0,0.003921568859369,160,56404677,56404736,59,165,110,0,0.003921568859369,143,56404879,56404938,59,79,99,0,0.003921568859369,151,56405089,56405157,68,167,153,8,pin-length-4
0,0.003921568859369,57098340,57098425,85,93,77,0,0.003921568859369,101,57098526,57098612,86,64,123,0,0.003921568859369,109,57098721,57098790,69,111,93,0,0.003921568859369,100,57098890,57098984,94,46,114,11,pin-length-4
0,0.003921568859369,57100912,57100988,76,61,85,0,0.003921568859369,109,57101097,57101200,103,89,113,0,0.003921568859369,143,57101343,57101419,76,118,90,0,0.003921568859369,68,57101487,57101582,95,103,137,11,pin-length-4
0,0.003921568859369,57102477,57102553,76,111,91,0,0.003921568859369,84,57102637,57102741,104,80,121,0,0.003921568859369,93,57102834,57102895,61,138,90,0,0.003921568859369,43,57102938,57103032,94,112,134,11,pin-length-4
0,0.003921568859369,57104412,57104479,67,95,86,0,0.003921568859369,93,57104572,57104666,94,61,111,0,0.003921568859369,51,57104717,57104794,77,141,112,0,0.003921568859369,60,57104854,57104957,103,103,135,11,pin-length-4
