area,pressure,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,area,pressure,timeBetweenTouch,timeBetweenDown,timeBetweenUp,timeLapsePress,x,y,user,length
0,0.003921568859369,55949485,55949558,73,135,116,0,0.003921568859369,226,55949784,55949853,69,97,89,0,0.003921568859369,301,55950154,55950213,59,90,105,0,0.003921568859369,435,55950648,55950702,54,145,92,0,0.003921568859369,233,55950935,55951004,69,127,100,0,0.003921568859369,226,55951230,55951280,50,102,97,7,pin-length-6
0,0.003921568859369,55959213,55959288,75,158,111,0,0.003921568859369,218,55959506,55959549,43,129,122,0,0.003921568859369,217,55959766,55959833,67,117,112,0,0.003921568859369,260,55960093,55960160,67,189,116,0,0.003921568859369,193,55960353,55960412,59,130,109,0,0.003921568859369,184,55960596,55960664,68,114,87,7,pin-length-6
0,0.003921568859369,55963977,55964036,59,136,103,0,0.003921568859369,244,55964280,55964331,51,141,118,0,0.003921568859369,203,55964534,55964611,77,84,96,0,0.003921568859369,333,55964944,55964994,50,155,130,0,0.003921568859369,193,55965187,55965238,51,122,95,0,0.003921568859369,209,55965447,55965497,50,130,55,7,pin-length-6
0,0.003921568859369,55966880,55966921,41,139,82,0,0.003921568859369,252,55967173,55967223,50,124,109,0,0.003921568859369,200,55967423,55967474,51,75,92,0,0.003921568859369,269,55967743,55967802,59,140,124,0,0.003921568859369,184,55967986,55968062,76,122,80,0,0.003921568859369,194,55968256,55968305,49,147,77,7,pin-length-6
0,0.003921568859369,55973378,55973420,42,97,128,0,0.003921568859369,258,55973678,55973729,51,120,112,0,0.003921568859369,200,55973929,55973980,51,104,100,0,0.003921568859369,293,55974273,55974314,41,141,111,0,0.003921568859369,193,55974507,55974549,42,131,87,0,0.003921568859369,209,55974758,55974800,42,123,98,7,pin-length-6
0,0.003921568859369,56412131,56412181,50,142,77,0,0.003921568859369,192,56412373,56412424,51,106,97,0,0.003921568859369,134,56412558,56412626,68,106,80,0,0.003921568859369,184,56412810,56412896,86,169,73,0,0.003921568859369,118,56413014,56413074,60,157,70,0,0.003921568859369,125,56413199,56413259,60,155,70,8,pin-length-6
0,0.003921568859369,56414619,56414669,50,139,74,0,0.003921568859369,168,56414837,56414888,51,114,117,0,0.003921568859369,126,56415014,56415082,68,87,91,0,0.003921568859369,168,56415250,56415318,68,152,87,0,0.003921568859369,135,56415453,56415512,59,155,85,0,0.003921568859369,126,56415638,56415680,42,111,52,8,pin-length-6
0,0.003921568859369,56422053,56422122,69,138,128,0,0.003921568859369,167,56422289,56422357,68,155,92,0,0.003921568859369,127,56422484,56422552,68,80,88,0,0.003921568859369,217,56422769,56422802,33,112,131,0,0.003921568859369,185,56422987,56423040,53,143,101,0,0.003921568859369,134,56423174,56423233,59,155,80,8,pin-length-6
0,0.003921568859369,56424052,56424111,59,135,96,0,0.003921568859369,167,56424278,56424320,42,129,129,0,0.003921568859369,134,56424454,56424531,77,80,102,0,0.003921568859369,168,56424699,56424758,59,152,125,0,0.003921568859369,117,56424875,56424943,68,157,104,0,0.003921568859369,119,56425062,56425112,50,97,59,8,pin-length-6
0,0.003921568859369,56427187,56427237,50,97,130,0,0.003921568859369,159,56427396,56427439,43,85,114,0,0.003921568859369,143,56427582,56427658,76,65,96,0,0.003921568859369,177,56427835,56427894,59,167,104,0,0.003921568859369,144,56428038,56428082,44,145,96,0,0.003921568859369,151,56428233,56428275,42,111,48,8,pin-length-6
0,0.003921568859369,57112142,57112223,81,89,95,0,0.003921568859369,251,57112474,57112560,86,41,95,0,0.003921568859369,118,57112678,57112763,85,36,93,0,0.003921568859369,135,57112898,57112975,77,94,105,0,0.003921568859369,243,57113218,57113295,77,100,139,0,0.003921568859369,84,57113379,57113447,68,107,143,11,pin-length-6
