x,y,velocity,acceleration,user,sample,innerSample
223,465.391357421875,0.7484294430534484,0.008805052271217039,1,1,1
223,421.066162109375,1.3036822150735294,0.006534939343958322,1,1,2
224.983154296875,394.218994140625,1.6825196517559258,0.011595763854092446,1,1,3
226.9614715576172,367.577880859375,1.5714391350559138,0.006942644064619126,1,1,4
227.03036499023438,344.36444091796875,1.3655024807655716,0.013576561828939595,1,1,5
225.03311157226562,310.298095703125,1.034086146070725,0.019963710657595272,1,1,6
222.10470581054688,295.366455078125,0.895064228155688,0.005765175894643619,1,1,7
214.9488525390625,277.9488525390625,0.5706142794205002,0.020785279946017785,1,1,8
210.9966278076172,273.99664306640625,0.3287811192455012,0.008961729211816578,1,1,9
208.04348754882812,270.04345703125,0.14952854350557043,0.01070949943792559,1,1,10
208,266.0584716796875,0.2344248606502782,0.0043592302513537125,1,1,11
208,262.11566162109375,0.24642562866210938,0.0007225901652413464,1,1,12
209.9518280029297,258.09637451171875,0.2628319382285393,0.007202988494683611,1,1,13
211.9375457763672,253.18731689453125,0.31149778676232626,0.0030810230946169003,1,1,14
222.99951171875,237.00079345703125,0.5941021974638548,0.017489139059147257,1,1,15
228.8948516845703,228.17523193359375,0.6243212771889096,0.0009363436313278693,1,1,16
239.847412109375,214.152587890625,0.539183756985392,0.005611246401411864,1,1,17
254.7991180419922,206.08038330078125,0.5148965476306301,0.0065835093784477995,1,1,18
277.5912780761719,205,1.3422206810909751,0.027451864622171453,1,1,19
372.5860290527344,214.927978515625,2.894307047962283,0.09297030831662847,1,1,20
414.18731689453125,221.87811279296875,2.4810503388638208,0.013478811536904325,1,1,21
470.2467041015625,220.19482421875,1.6995349535288344,0.05166780908557115,1,1,22
492.0413818359375,213.3834228515625,1.3431914251523185,0.016484594733855853,1,1,23
508.79931640625,205.11468505859375,1.0992296701113444,0.01814304392782283,1,1,24
517.0687255859375,197.8968505859375,0.6860218844899055,0.02766165910630049,1,1,25
523.9737548828125,186.07867431640625,0.4025746722287444,0.0206491398962849,1,1,26
527.9130249023438,180.1304931640625,0.44589581229406866,0.001453731271285574,1,1,27
537.8189086914062,166.18109130859375,0.5032011245728929,0.003708891959569126,1,1,28
541.93408203125,161.06591796875,0.4103145226226282,0.002847130605419994,1,1,29
